职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
嵌入式软件工程师,0.8-1.6万/月,东莞-虎门镇,东莞市晟鼎精密仪器有限公司,民营公司,50-150人,仪器仪表/工业自动化,08-15
软件开发工程师,4.5-6千/月,深圳-龙岗区,深圳市博佳通科技有限公司,民营公司,50-150人,计算机软件,08-15
Java软件工程师实习生,4-6千/月,上海-宝山区,上海理泊软件科技有限公司,民营公司,50-150人,计算机软件,08-15
软件开发工程师（java/C/C++/单片机/安卓应用/jni）,0.7-1万/月,佛山,广东天波信息技术股份有限公司,民营公司,500-1000人,通信/电信/网络设备,08-15
电子软件工程师,1-1.5万/月,佛山-顺德区,广东摩法电子商务有限公司,民营公司,50-150人,互联网/电子商务,08-15
嵌入式软件工程师(MCU),1-1.5万/月,成都-武侯区,成都魅居科技有限公司,民营公司,少于50人,计算机软件,08-15
高级软件工程师,20-35万/年,佛山,恒洁集团,民营公司,1000-5000人,建筑/建材/工程,08-15
IT软件开发工程师,0.9-1.3万/月,佛山-顺德区,佛山市顺德区冠宇达电源有限公司,民营公司,500-1000人,电子技术/半导体/集成电路,08-15
软件开发工程师,,青岛,集团运营生态圈,民营公司,10000人以上,多元化业务集团公司,08-15
嵌入式软件工程师,1-1.5万/月,宁波-奉化区,宁波安创电子科技有限公司,民营公司,50-150人,汽车,08-15
PHP高级软件工程师,0.8-1万/月,武汉-洪山区,武汉清石装饰工程有限公司,民营公司,50-150人,家居/室内设计/装潢,08-15
软件工程师,1.8-3.5万/月,北京-大兴区,北京华信佳音医疗科技发展有限责任公司,民营公司,少于50人,计算机软件,08-15
嵌入式软件工程师（师徒制，有宿舍 ）,1-2万/月,深圳-宝安区,深圳市光钛科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
Software Engineer 软件工程师,,济南,沃尔沃遍达（上海）动力系统有限公司,外资（欧美）,50-150人,机械/设备/重工,08-15
嵌入式软件工程师,0.7-1.5万/月,深圳-宝安区,深圳市蓝蜂时代实业有限公司,民营公司,50-150人,电子技术/半导体/集成电路,08-15
软件开发工程师,1-1.5万/月,深圳-宝安区,深圳市易天自动化设备股份有限公司,上市公司,500-1000人,机械/设备/重工,08-15
