职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
厨师,6-8千/月,上海-浦东新区,上海悦企实业有限公司,民营公司,500-1000人,汽车,08-15
食堂主管/厨师长,0.7-1.2万/月,深圳,深圳巿三利达电器科技有限公司,民营公司,1000-5000人,家具/家电/玩具/礼品,08-15
厨师,4.5-5千/月,佛山,广东尚高科技有限公司,民营公司,500-1000人,家具/家电/玩具/礼品,08-15
厨师,4.5-6千/月,合肥-瑶海区,安徽氧吧羊信息科技有限公司,民营公司,50-150人,快速消费品(食品、饮料、化妆品),08-15
食堂厨师,6-8千/月,上海,上海开亮餐饮管理有限公司,民营公司,150-500人,餐饮业,08-15
白案厨师,4.5-6千/月,成都-双流区,兴发铝业（成都）有限公司,上市公司,1000-5000人,建筑/建材/工程,08-15
食堂厨师,6-8千/月,苏州-吴中区,苏州佳华印刷包装有限公司,民营公司,150-500人,批发/零售,08-15
茶餐厅厨师,1-1.4万/月,上海-普陀区,上海爱连信食品有限公司,合资,50-150人,快速消费品(食品、饮料、化妆品),08-15
中餐厨师,4.5-5千/月,揭阳,广州屏安物业管理有限公司,民营公司,150-500人,物业管理/商业中心,08-15
厨师,6-8千/月,东莞-南城区,民泰控股（广东）有限公司,民营公司,少于50人,多元化业务集团公司,08-15
食堂厨师,5-5.5千/月,上海,上海思南公馆商务管理有限公司,国企,150-500人,酒店/旅游,08-15
厨师,3-6千/月,成都-高新区,成都新港汽车维修有限责任公司,民营公司,150-500人,汽车,08-15
早餐厨师,3-4.5千/月,武汉-江岸区,湖北高星控股集团有限公司,合资,150-500人,建筑/建材/工程,08-15
中餐厨师,6-8千/月,上海-嘉定区,上海众睿农业科技有限公司,民营公司,少于50人,政府/公共事业,08-15
（急聘）食堂厨师（4K+）,4-4.5千/月,成都-高新区,中旅城市运营服务有限公司成都分公司,国企,50-150人,物业管理/商业中心,08-15
厨师,6-8千/月,上海,中饮巴比食品股份有限公司,民营公司,,快速消费品(食品、饮料、化妆品),08-15
西餐厨师,5-8千/月,北京-东城区,北京百灵鸽书店有限公司,民营公司,,计算机软件,08-15
厨师,4.5-6千/月,厦门-湖里区,好食特汇成（北京）餐饮管理有限公司,外资（欧美）,150-500人,餐饮业,08-15
西餐厨师,1-1.2万/月,上海-长宁区,上海脉肯析教育科技有限公司,民营公司,少于50人,互联网/电子商务,08-15
厨师,6-8千/月,深圳-龙华区,深圳市哈德胜精密科技股份有限公司,民营公司,150-500人,机械/设备/重工,08-15
员工餐厨师,3-4.5千/月,沈阳-和平区,辽宁正泰电器销售有限公司,民营公司,50-150人,批发/零售,08-15
厨师,6-8千/月,海口,洋浦天雨物贸有限公司,民营公司,500-1000人,交通/运输/物流,08-15
二灶厨师,0.8-1万/月,上海-浦东新区,河南黎明重工科技股份有限公司,民营公司,1000-5000人,机械/设备/重工,08-15
（社招）厨师,4.5-8千/月,昆山,仁宝信息技术（昆山）有限公司,民营公司,,电子技术/半导体/集成电路,08-15
急招日式厨师,5-8千/月,北京-海淀区,北京华诚仕杰劳动咨询服务有限公司,民营公司,,专业服务(咨询、人力资源、财会),08-15
法国餐厅厨师,4.5-9千/月,广州-海珠区,广州露台景餐饮有限公司,民营公司,少于50人,餐饮业,08-15
东岸里中餐、快餐厨师,5-6.8千/月,宁波,浙江浙海华地网络科技有限公司,民营公司,500-1000人,批发/零售,08-15
饭堂厨师,5.5-7千/月,惠州-惠阳区,惠州市常兴荣科技有限公司,民营公司,,仪器仪表/工业自动化,08-15
厨师包吃住会翻锅就行,6-8千/月,大连-沙河口区,沈阳奉天驿餐饮管理有限公司,民营公司,少于50人,餐饮业,08-15
西餐厨师,24元/小时,上海-徐汇区,上海新贝乐餐厅,民营公司,150-500人,餐饮业,08-15
厨师,4.8-5.5千/月,东莞-望牛墩镇,东莞市亚美精密机械配件有限公司,合资,50-150人,机械/设备/重工,08-15
厨师,3-4.5千/月,海口-秀英区,海南宇龙机械科技有限公司,民营公司,50-150人,机械/设备/重工,08-15
厨师,4.5-6千/月,上海-普陀区,上海市保安服务（集团）有限公司,国企,10000人以上,交通/运输/物流,08-15
西餐厨师,0.8-1万/月,北京-朝阳区,北京艾斯卡纳精酿啤酒艺术有限公司,创业公司,150-500人,快速消费品(食品、饮料、化妆品),08-15
米线店厨师,4.7-5千/月,深圳-福田区,深圳市福田区艾豪丽西餐厅,民营公司,50-150人,餐饮业,08-15
中餐厨师,3-4.5千/月,临汾,山西中升钢铁有限公司,合资,,批发/零售,08-15
西点厨师（养老院）,6-8千/月,北京-西城区,国投颐康（北京）养老投资有限公司,国企,150-500人,医疗/护理/卫生,08-15
厨师,3-3.5千/月,大连-甘井子区,大连通才计算机学校,民营公司,50-150人,教育/培训/院校,08-15
主厨师（潮式粤菜）,0.8-1万/月,佛山-南海区,佛山市衣谷布业有限公司,民营公司,50-150人,服装/纺织/皮革,08-15
厨师,4.5-6千/月,成都-温江区,深圳市亚玛逊历奇教育咨询有限公司成都分公司,民营公司,,教育/培训/院校,08-15
厨师（饭堂 工厂）,4-4.5千/月,东莞-桥头镇,深圳市顺博绝缘材料制造有限公司,民营公司,50-150人,原材料和加工,08-15
厨师/炉子/案子,4-5.5千/月,武汉,武汉三丰石油商贸有限公司,民营公司,150-500人,石油/化工/矿产/地质,08-15
会所厨师,1-1.3万/月,深圳-南山区,山湖海集团,民营公司,1000-5000人,房地产,08-15
食堂厨师,5-6千/月,珠海-金湾区,广东康德莱医疗器械集团有限公司,民营公司,150-500人,医疗设备/器械,08-15
厨师,6-8千/月,佛山,广东泰升药业有限公司,民营公司,500-1000人,制药/生物工程,08-15
西餐厨师,5-7千/月,上海-黄浦区,上海方桢企业管理有限公司,民营公司,少于50人,批发/零售,08-15
中餐厨师,0.8-1万/月,南京-栖霞区,南京汉融石油化工集团有限公司,民营公司,50-150人,石油/化工/矿产/地质,08-15
厨师、厨工（包食宿）,4-6千/月,北京-大兴区,东方时尚驾驶学校股份有限公司,上市公司,1000-5000人,教育/培训/院校,08-15
西餐厨师(周末双休含食宿),4.5-6千/月,广州-海珠区,广州汇咖派食品有限公司,民营公司,50-150人,餐饮业,08-15
