职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
沈河青年大街校区英语老师,6-8千/月,沈阳-沈河区,沈阳市铁西区大桥教育培训学校,民营公司,150-500人,教育/培训/院校,08-15
高中英语教师兼/全职,15-20万/年,成都-温江区,成都市淘乐思教育管理有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语老师,3-8千/月,开平,星哆哆文化教育,非营利组织,少于50人,教育/培训/院校,08-15
英语老师（在家办公+高课时费）,0.6-1万/月,中山-黄圃镇,中山市阿布拉教育培训中心有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语老师兼班主任-国际化高中,0.8-1万/月,成都-金牛区,美中国际教育集团,外资（欧美）,150-500人,教育/培训/院校,08-15
初、高中英语教师,6-8千/月,北京,北京市海淀区尚丽外国语学校,民营公司,150-500人,教育/培训/院校,08-15
指导师/早教英语老师（江门汇悦城中心）,0.6-1.2万/月,江门-蓬江区,金宝贝中国早教,外资（欧美）,500-1000人,教育/培训/院校,08-15
少儿英语老师,4.5-6千/月,惠州-大亚湾区,惠州市卓奕教育咨询有限公司,创业公司,少于50人,教育/培训/院校,08-15
中小学英语老师,8-10万/年,苏州-相城区,苏州市相城区新希望教育培训中心有限公司,上市公司,1000-5000人,教育/培训/院校,08-15
初高中英语教师,6-8千/月,湖州-长兴县,长兴人立培训学校有限公司,民营公司,,教育/培训/院校,08-15
英语老师,4.5-6千/月,荆州-荆州区,湖北百人教育科技投资集团有限公司,民营公司,少于50人,学术/科研,08-15
小学老师，语文，英语，科学,3-4.5千/月,西安-长安区,长安天兴海明威小学,民营公司,50-150人,教育/培训/院校,08-15
英语老师(金地校区+双休+五险一金),0.5-1万/月,西安-曲江新区,贝迪森青少儿英语,民营公司,150-500人,教育/培训/院校,08-15
早教英语老师 （万象城）,6-8千/月,厦门,福州市鼓楼区金宝贝早期教育培训中心,民营公司,1000-5000人,教育/培训/院校,08-15
英语老师,10-15万/年,苏州-高新区,苏州明书文化信息咨询有限公司,非营利组织,少于50人,专业服务(咨询、人力资源、财会),08-15
英语辅导老师[J870151],1-1.5万/月,北京-海淀区,北京乐学一百在线教育科技有限公司,民营公司,50-150人,教育/培训/院校,08-15
初中英语老师,0.8-1万/月,深圳-坪山区,深圳市欣海文化艺术培训中心,民营公司,50-150人,教育/培训/院校,08-15
