职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
数据分析师（呼和浩特市）,4-6千/月,呼和浩特,青岛啤酒股份有限公司,国企,10000人以上,快速消费品(食品、饮料、化妆品),08-15
数据分析师,1-1.5万/月,广州-天河区,广州英赛特软件有限公司,民营公司,50-150人,计算机软件,08-15
数据分析师助理,5-7千/月,深圳-罗湖区,深圳市深创联金融服务有限公司,民营公司,150-500人,金融/投资/证券,08-15
数据分析师/数据分析员+包吃住+五险一金+年终奖,4-5.5千/月,广州,广州可意光电科技股份有限公司,民营公司,500-1000人,电子技术/半导体/集成电路,08-15
大数据分析师,1-1.5万/月,上海-杨浦区,上海弈格思商务信息咨询有限公司,民营公司,少于50人,计算机软件,08-15
运营数据分析师,3-4.5千/月,烟台,烟台星商电子商务有限公司,民营公司,1000-5000人,贸易/进出口,08-15
数据分析师,0.8-1万/月,郑州-中原区,河南八六三软件股份有限公司,合资,500-1000人,计算机软件,08-15
数据分析师,3-5千/月,重庆-渝北区,重庆大司空信息科技有限公司,民营公司,150-500人,计算机软件,08-15
数据分析师,0.7-1万/月,武汉-东湖新技术产业开发区,武汉天恒信息技术有限公司,民营公司,1000-5000人,计算机软件,08-15
数据分析师 - 国际化广告产品,2-4万/月,上海,字节跳动,民营公司,10000人以上,互联网/电子商务,08-15
数据分析师,1-1.5万/月,佛山-顺德区,美的集团热水器事业部,上市公司,5000-10000人,家具/家电/玩具/礼品,08-15
数据分析师,4.5-8千/月,重庆-九龙坡区,重庆安鑫动科技有限公司,民营公司,,计算机软件,08-14
数据银行分析师,1.5-3万/月,上海-闵行区,杰薄斯贸易（上海）有限公司,外资（非欧美）,150-500人,贸易/进出口,08-14
数据分析师,0.8-1万/月,南京-江宁区,南京乐因特教育科技有限公司,民营公司,少于50人,教育/培训/院校,08-14
银行系统数据分析师助理,5.5-8.5千/月,深圳-龙岗区,深圳市龙岗区乾盛互联网开发工作室,民营公司,少于50人,计算机软件,08-14
数据分析师,4.5-6千/月,西安-雁塔区,新宇集团,合资,500-1000人,批发/零售,08-14
数据分析师,0.8-1万/月,深圳-龙华区,佛山市华创智能装备有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),08-14
初级数据分析师/发展好,0.7-1万/月,深圳-南山区,西安知云感知大数据科技有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),08-14
年薪25万数据分析师（乙方经验）,20-30万/年,广州-天河区,蓝熙集团,民营公司,500-1000人,计算机软件,08-14
战略分析师（数据分析）,10-15万/年,宁波,宁波世贸通国际贸易有限公司,民营公司,150-500人,贸易/进出口,08-14
包吃住/数据分析师助理+转正8K起,6.9-9.8千/月,深圳-宝安区,深圳波特空间设计工程有限公司,民营公司,50-150人,家居/室内设计/装潢,08-14
高级数据分析师,1-1.2万/月,中山,中山趣然电子商务有限公司,民营公司,150-500人,互联网/电子商务,08-14
数据分析师/助理（底薪6k+奖金）,0.8-1万/月,广州-越秀区,广东兆丰恒业控股集团有限公司,民营公司,500-1000人,金融/投资/证券,08-14
